"isReserved","updateRes","OMSCHR","NAAM","vrijwillID","startDate","SugbyINBO","locID","restricties","Sampler","dataset","SystemType","GEBIED","provincie","gemeente","postcode","CATC","VHAG","WVLC","Latitude","Longitude","Beheerder","Bhrtel","Bhremail"
"FALSE","FALSE","Kaulille, Broekerheide, oude hostieweg, dan zandpad inrijden, opw brug","Warmbeek",NA,NA,"YES","I_3950_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Bocholt",3950,2,9508,NA,"51.1968064953158",5.49538932042236,"Limburg",NA,"christel.bouchet@limburg.be"
"FALSE","FALSE","Goolderheideweg, opw weg","Balkenloop",NA,NA,"YES","I_3950_2","lijkt volgegroeid",NA,"VMM_Mtp","Lotisch",NA,"Limburg","Bocholt",3950,2,473,NA,"51.1754534",5.5363895,"Limburg",NA,"christel.bouchet@limburg.be"
"FALSE","FALSE","onverhard verlengde Goosweg, opw weg","Rieterheideloop",NA,NA,"YES","I_3950_3","staat precies droog",NA,"VMM_Mtp","Lotisch",NA,"Limburg","Bocholt",3950,2,332,NA,"51.1885454",5.5424251,"Limburg",NA,"christel.bouchet@limburg.be"
"TRUE","TRUE","zijbeek Hamonterbeek, Hamont, Lozerweg 100, via hoofdingang Lo kasteel De L'Escaille, opw onverharde weg","Lobeek","mdflzwm0",NA,"YES","I_3930_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Hamont-Achel",3930,2,10201,NA,"51.2091835",5.5574111,"Limburg",NA,"christel.bouchet@limburg.be"
"TRUE","TRUE","Lossing-Emissaire, Molenbeersel, Vlasbrei, Uffelseweg, grenspaal 145, opw brug","Lossing","ztnhyzk1","TBD","YES","I_3640_11",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Kinrooi",3640,1,9967,NA,"51.1717186",5.7795737,"VMM",NA,"d.slootmaekers@vmm.be"
"FALSE","FALSE","Stramproyerweg, aan grenspaal 160, opw onderkokering aan Abeek (stuw)","Abeek",NA,NA,"YES","I_3950_4",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Bocholt",3950,1,9505,NA,"51.1847250361821",5.65790646495731,"VMM",NA,"d.slootmaekers@vmm.be"
"FALSE","FALSE","Neeritter, Huikenhof (NL), opw brug","Itterbeek",NA,NA,"YES","I_3640_12",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Kinrooi",3640,1,9522,NA,"51.1570656653496",5.79221185990336,"VMM",NA,"d.slootmaekers@vmm.be"
"TRUE","TRUE","Ophoven, aan kruising met Dalerstr, opw brug","Abeek","n2jjztbi ","TBD","YES","I_3640_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Kinrooi",3640,1,9505,NA,"51.125738",5.811887,"VMM",NA,"d.slootmaekers@vmm.be"
"FALSE","FALSE","Kinrooi, Breeërstwg, opw brug","Abeek",NA,NA,"YES","I_3640_2",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Kinrooi",3640,1,9505,NA,"51.1454366207194",5.75025115601087,"VMM",NA,"d.slootmaekers@vmm.be"
"ONHOLD","ONHOLD","Bocholt, Kreylerstraat, onverharde weg naast huisnr. 29, opw brug","Abeek","y2jkythh",NA,"YES","I_3950_5",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Bocholt",3950,1,9505,NA,"51.1717992",5.6019527,"VMM",NA,"d.slootmaekers@vmm.be"
