"isReserved","updateRes","OMSCHR","NAAM","vrijwillID","startDate","SugbyINBO","locID","restricties","Sampler","dataset","SystemType","GEBIED","provincie","gemeente","postcode","CATC","VHAG","WVLC","Beheerder","Bhrtel","Bhremail","OIDN","UIDN","TERRID","NISCODE","NAAM.1","DATPUBLBS","NUMAC","LENGTE","OPPERVL","GEMNAAM","Longitude","Latitude"
FALSE,FALSE,NA,"Abeek",NA,NA,"YES","I_3670_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Oudsbergen",3670,2,9505,NA,"Limburg",NA,"christel.bouchet@limburg.be",310,745,364,"72042","Oudsbergen",2018-06-01,"2018012105",58208.1,116370650.2,"Oudsbergen",230673.99987558,203277.998913283
FALSE,FALSE,"Meeuwen, zijweg Berkenstr., afw weg, Meeuwen-Guitrode","Hommelbeek",NA,NA,"YES","I_3670_2",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Oudsbergen",3670,2,9630,NA,"Limburg",NA,"christel.bouchet@limburg.be",310,745,364,"72042","Oudsbergen",2018-06-01,"2018012105",58208.1,116370650.2,"Oudsbergen",229386.340603516,199884.049617057
FALSE,FALSE,"Meeuwen; Broekkant","Bullenbeek",NA,NA,"YES","I_3670_3",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Oudsbergen",3670,2,9594,NA,"Limburg",NA,"christel.bouchet@limburg.be",310,745,364,"72042","Oudsbergen",2018-06-01,"2018012105",58208.1,116370650.2,"Oudsbergen",230025.99987447,198045.998914906
FALSE,FALSE,"Ellikom, Neermolenstraat, begin traject 100 m afw verval aan Neermolen, Xcoördinaat","Abeek",NA,NA,"YES","I_3670_4",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Oudsbergen",3670,2,9505,NA,"Limburg",NA,"christel.bouchet@limburg.be",310,745,364,"72042","Oudsbergen",2018-06-01,"2018012105",58208.1,116370650.2,"Oudsbergen",230675.999875595,203341.99891326
FALSE,FALSE,"Ellikom, Brogelerweg, einde traject 10m afw brug","Abeek",NA,NA,"YES","I_3670_5",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Oudsbergen",3670,2,9505,NA,"Limburg",NA,"christel.bouchet@limburg.be",310,745,364,"72042","Oudsbergen",2018-06-01,"2018012105",58208.1,116370650.2,"Oudsbergen",230676.999875511,202948.998913381
TRUE,TRUE,"begin traject 100m opw molen","Abeek","mznkyti0","15/07/2024","YES","I_3670_6",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Oudsbergen",3670,2,9505,NA,"Limburg",NA,"christel.bouchet@limburg.be",310,745,364,"72042","Oudsbergen",2018-06-01,"2018012105",58208.1,116370650.2,"Oudsbergen",230245.543331874,202218.04633694
FALSE,FALSE,NA,"Ruiterskuilen","nzzlmmvm",NA,"YES","I_3660_2","te zuur",NA,NA,NA,NA,"Limburg","Oudsbergen",3660,NA,NA,NA,"Jacobs Karen",NA,"recreatie.lim.anb@vlaanderen.be",310,745,364,"72042","Oudsbergen",2018-06-01,"2018012105",58208.1,116370650.2,"Oudsbergen",232318.670916057,193856.430199241
FALSE,FALSE,NA,"Turfven","nzzlmmvm",NA,"YES","I_3660_3","te zuur",NA,NA,NA,NA,"Limburg","Oudsbergen",3660,NA,NA,NA,"Jacobs Karen",NA,"recreatie.lim.anb@vlaanderen.be",310,745,364,"72042","Oudsbergen",2018-06-01,"2018012105",58208.1,116370650.2,"Oudsbergen",232624.132891728,194568.886215062
FALSE,FALSE,NA,"Watering De Vreenebeek",NA,NA,"YES","I_3670_7",NA,NA,NA,NA,NA,"Limburg","Oudsbergen",3670,NA,NA,NA,NA,NA,NA,310,745,364,"72042","Oudsbergen",2018-06-01,"2018012105",58208.1,116370650.2,"Oudsbergen",230354.432049548,198384.329464898
FALSE,FALSE,NA,"Watering De Vreenebeek","nzzlmmvm",NA,"YES","I_3670_8",NA,NA,NA,NA,NA,"Limburg","Oudsbergen",3670,NA,NA,NA,NA,NA,NA,310,745,364,"72042","Oudsbergen",2018-06-01,"2018012105",58208.1,116370650.2,"Oudsbergen",230933.445501008,196516.003251963
