"isReserved","updateRes","OMSCHR","NAAM","vrijwillID","startDate","SugbyINBO","locID","restricties","Sampler","dataset","SystemType","GEBIED","provincie","gemeente","postcode","CATC","VHAG","WVLC","Latitude","Longitude","Beheerder","Bhrtel","Bhremail"
TRUE,TRUE,"Lossing-Emissaire, Molenbeersel, Vlasbrei, Uffelseweg, grenspaal 145, opw brug","Lossing","ztnhyzk1","TBD","YES","I_3640_11",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Kinrooi",3640,1,9967,NA,51.1717186,5.7795737,"VMM",NA,"d.slootmaekers@vmm.be"
TRUE,TRUE,"'s Gravenwezel, Noorderlaan","Antitankkanaal","nmvkndjl",NA,"YES","I_2970_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Antwerpen","Schilde",2970,1,17603,NA,51.2630475,4.5877525,"VMM",NA,"d.slootmaekers@vmm.be"
TRUE,TRUE,"Verrebroek; Bemalingsstation thv expressweg","Noordzuid Verbinding","y2uzntq0",NA,"YES","I_9130_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Oost-Vlaanderen","Beveren",9130,1,3111,NA,51.252614,4.201021,"VMM",NA,"d.slootmaekers@vmm.be"
TRUE,TRUE,"Ruisbroek; einde Donkstr - Vlietdijk opw. brug thv pompstation","Grote Molenbeek","zwuxmwy1","09/07/2024","YES","I_2870_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Antwerpen","Puurs-Sint-Amands",2870,1,6,NA,51.095037,4.3174525,"VMM",NA,"d.slootmaekers@vmm.be"
TRUE,TRUE,"Kobbegem; Sint-Goriksstraat, afw Torenhof","Grote Molenbeek","ownlnda3","TBD","YES","I_1730_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Vlaams-Brabant","Asse",1730,2,6,NA,50.9065872,4.2510468,"Vlaams-Brabant",NA,"ingrid.beuls@vlaamsbrabant.be"
TRUE,TRUE,"Mansteen","Stambeek","ndzmm2ex","25/8/24","YES","I_1745_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Vlaams-Brabant","Opwijk",1745,2,615,NA,50.960996,4.212466,"Vlaams-Brabant",NA,"ingrid.beuls@vlaamsbrabant.be"
TRUE,TRUE,"Ruisbroek, St. Katharinastr., afw Moerloop","Birrebeek","zwuxmwy1","09/07/2024","YES","I_2870_2",NA,NA,"VMM_Mtp","Lotisch",NA,"Antwerpen","Puurs-Sint-Amands",2870,1,3106,NA,51.0746396,4.338863,"VMM",NA,"d.slootmaekers@vmm.be"
TRUE,TRUE,"Mechelsesteenweg, opw brug en monding Babelse beek","Lachenebeek","zgi0mju3","09/24","YES","I_2500_1","bij voorkeur tussen 20/07 - 01/09",NA,"VMM_Mtp","Lotisch",NA,"Antwerpen","Lier",2500,2,8839,NA,51.1348,4.518105,"Antwerpen",NA,"hans.vanloy@provincieantwerpen.be"
TRUE,TRUE,"Ten Aard, grens Lichtaart (Bobbejaanland), opw. Lichtaartseweg/Olenstw.","Kleine Nete","owm5ndk2","10/8/2024","YES","I_2460_2",NA,NA,"VMM_Mtp","Lotisch",NA,"Antwerpen","Kasterlee",2460,1,8502,NA,51.1987613,4.9030521,"VMM",NA,"d.slootmaekers@vmm.be"
TRUE,TRUE,"Emblem; afw. Netekanaal","Molenbeek","mmmwzmrh","02/09/24","YES","I_2520_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Antwerpen","Ranst",2520,1,8505,NA,51.1712784,4.6298545,"VMM",NA,"d.slootmaekers@vmm.be"
