"isReserved","updateRes","OMSCHR","NAAM","vrijwillID","startDate","SugbyINBO","locID","restricties","Sampler","dataset","SystemType","GEBIED","provincie","gemeente","postcode","CATC","VHAG","WVLC","Beheerder","Bhrtel","Bhremail","Longitude","Latitude","OIDN","UIDN","TERRID","NISCODE","NAAM.1","DATPUBLBS","NUMAC","LENGTE","OPPERVL","GEMNAAM"
"TRUE","TRUE","Meeuwen; Broekkant","Bullenbeek","owvlmtzj","TBD","YES","I_3670_3",NA,NA,"VMM_Mtp","Lotisch",NA,"Limburg","Oudsbergen",3670,2,9594,NA,"Limburg",NA,"christel.bouchet@limburg.be",5.514206,51.0895971,310,745,364,72042,"Oudsbergen","2018-06-01",2018012105,582081,1163706502,"Oudsbergen"
"TRUE","TRUE",NA,"Watering De Vreenebeek","owvlmtzj","TBD","YES","I_3670_7",NA,NA,NA,NA,NA,"Limburg","Oudsbergen",3670,NA,NA,NA,NA,NA,NA,5.5157167,51.0899777,310,745,364,72042,"Oudsbergen","2018-06-01",2018012105,582081,1163706502,"Oudsbergen"
"TRUE","TRUE",NA,"Watering De Vreenebeek","mznkyti0","TBD","YES","I_3670_8",NA,NA,NA,NA,NA,"Limburg","Oudsbergen",3670,NA,NA,NA,NA,NA,NA,5.5232808,51.0762833,310,745,364,72042,"Oudsbergen","2018-06-01",2018012105,582081,1163706502,"Oudsbergen"
"TRUE","TRUE","Bellem, Eksterstraat","Fortloop","zgyxzdri","TBD","YES","I_9881_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Oost-Vlaanderen","Aalter",9881,2,397,NA,"Oost-Vlaanderen",NA,"waterbeleid@oost-vlaanderen.be",3.5072512,51.1045717,313,748,367,44084,"Aalter","2018-06-01",2018012109,6156398,11985075639,"Aalter"
"TRUE","TRUE",NA,NA,"mdjjotdj","TBD","YES","I_9880_3",NA,NA,NA,NA,NA,"Oost-Vlaanderen","Aalter",9880,NA,NA,NA,NA,NA,NA,3.401001,51.110642,313,748,367,44084,"Aalter","2018-06-01",2018012109,6156398,11985075639,"Aalter"
"TRUE","TRUE",NA,NA,"zgyxzdri","TBD","NO","V_9880_5",NA,NA,NA,NA,NA,"Oost-Vlaanderen","Aalter",9880,NA,NA,NA,NA,NA,NA,3.4753949,51.104322,313,748,367,44084,"Aalter","2018-06-01",2018012109,6156398,11985075639,"Aalter"
"TRUE","TRUE","Bisdonkstraat, veldwegel thv bocht","Stokstormbeek","yzc4njmw","TBD","YES","I_9770_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Oost-Vlaanderen","Kruisem",9770,2,4463,NA,"Oost-Vlaanderen",NA,"waterbeleid@oost-vlaanderen.be",3.5177699,50.9454238,314,749,366,45068,"Kruisem","2018-06-01",2018012104,5440716,7158974805,"Kruisem"
"TRUE","TRUE","Neereichemstraat afw brug","Stampkotbeek","yzc4njmw","TBD","YES","I_9770_3",NA,NA,"VMM_Mtp","Lotisch",NA,"Oost-Vlaanderen","Kruisem",9770,2,5274,NA,"Oost-Vlaanderen",NA,"waterbeleid@oost-vlaanderen.be",3.580549,50.9240558,314,749,366,45068,"Kruisem","2018-06-01",2018012104,5440716,7158974805,"Kruisem"
"TRUE","TRUE","Duffel; Beukendreef; 50m opw brug (aan dikke canadaboom)","Goorbosbeek","yjdjywix","TBD","YES","I_2860_3","bij voorkeur tussen 20/07 - 01/09",NA,"VMM_Mtp","Lotisch",NA,"Antwerpen","Sint-Katelijne-Waver",2860,2,9112,NA,"Antwerpen",NA,"hans.vanloy@provincieantwerpen.be",4.4834901,51.075153,2,752,169,12035,"Sint-Katelijne-Waver","1976-01-23",1975123003,3556452,3615607789,"Sint-Katelijne-Waver"
"TRUE","TRUE",NA,NA,"yjdjywix","TBD","YES","I_2860_4",NA,NA,"Scheers","Lentisch",NA,"Antwerpen","Sint-Katelijne-Waver",2860,NA,NA,NA,NA,NA,NA,4.5109872,51.0598583,2,752,169,12035,"Sint-Katelijne-Waver","1976-01-23",1975123003,3556452,3615607789,"Sint-Katelijne-Waver"
