"isReserved","updateRes","OMSCHR","NAAM","vrijwillID","startDate","SugbyINBO","locID","restricties","Sampler","dataset","SystemType","GEBIED","provincie","gemeente","postcode","CATC","VHAG","WVLC","Beheerder","Bhrtel","Bhremail","Longitude","Latitude"
FALSE,FALSE,"Wilsele, Aarschotsestwg, afw weg","Dijle",NA,NA,"YES","I_3012_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Vlaams-Brabant","Leuven",3012,1,6551,NA,"VMM",NA,"d.slootmaekers@vmm.be",4.70908953352955,50.902392734141
FALSE,FALSE,"Kessel-Lo, Dijledreef, opw brug","Dijle","yjk2zjuy",NA,"YES","I_3010_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Vlaams-Brabant","Leuven",3010,1,6551,NA,"VMM",NA,"d.slootmaekers@vmm.be",4.71023149582602,50.8913324025515
FALSE,FALSE,"Wilsele, Vuurkruisenln, op bedrijventerrein AB InBev, over Dijle via weg achter fabriek, trap aan LO net afw overwelving, via trapje","Dijle",NA,NA,"YES","I_3012_2",NA,NA,"VMM_Mtp","Lotisch",NA,"Vlaams-Brabant","Leuven",3012,1,6551,NA,"VMM",NA,"d.slootmaekers@vmm.be",4.71005764941407,50.8889236750692
FALSE,FALSE,"Vaartstraat, afw brug","Dijle",NA,NA,"YES","I_3000_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Vlaams-Brabant","Leuven",3000,1,6551,NA,"VMM",NA,"d.slootmaekers@vmm.be",4.70252505679661,50.8869137518433
FALSE,FALSE,"Leuven, Tervuursesvest, afw. brug ring","Dijle",NA,NA,"YES","I_3000_2",NA,NA,"VMM_Mtp","Lotisch",NA,"Vlaams-Brabant","Leuven",3000,1,6551,NA,"VMM",NA,"d.slootmaekers@vmm.be",4.69437878706053,50.8701172926215
FALSE,FALSE,"Heverlee, opw brug voor kasteel van Arenberg","Dijle","yjk2zjuy",NA,"YES","I_3001_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Vlaams-Brabant","Leuven",3001,1,6551,NA,"VMM",NA,"d.slootmaekers@vmm.be",4.68350569582967,50.8630093025567
FALSE,FALSE,"Heverlee, Langestr, aanmeerplaats bootjes aan LO, opw Celestijnenln en effl IMEC","Dijle",NA,NA,"YES","I_3001_2",NA,NA,"VMM_Mtp","Lotisch",NA,"Vlaams-Brabant","Leuven",3001,1,6551,NA,"VMM",NA,"d.slootmaekers@vmm.be",4.68099659184548,50.8616406466155
FALSE,FALSE,NA,"Dijle",NA,NA,"YES","I_3040_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Vlaams-Brabant","Huldenberg",3040,1,6551,NA,"VMM",NA,"d.slootmaekers@vmm.be",4.63724240880529,50.7762847042345
FALSE,FALSE,"Industrie Noord, Zandvoortstr, naast containerpark afw weg","Vrouwvliet",NA,NA,"YES","I_2800_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Antwerpen","Mechelen",2800,1,6553,NA,"VMM",NA,"d.slootmaekers@vmm.be",4.45196539041181,51.0484016318998
FALSE,FALSE,"Muizen, Muizenhoekstr, opw brug","Vrouwvliet",NA,NA,"YES","I_2820_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Antwerpen","Bonheiden",2820,1,6553,NA,"VMM",NA,"d.slootmaekers@vmm.be",4.5278815282509,51.021293127385
FALSE,FALSE,"Keerbergen, Bakestraat, aan bakkerij DITS, opw weg","Vrouwvliet",NA,NA,"YES","I_3140_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Vlaams-Brabant","Keerbergen",3140,2,6553,NA,"Vlaams-Brabant",NA,"ingrid.beuls@vlaamsbrabant.be",4.62961115193262,51.0104589791963
FALSE,FALSE,"St-Katelijne-Waver, Kempenaerstr, tov Green partners, opw weg, opw overstort","Otterbeek",NA,NA,"YES","I_2860_2","bij voorkeur tussen 20/07 - 01/09",NA,"VMM_Mtp","Lotisch",NA,"Antwerpen","Sint-Katelijne-Waver",2860,2,6949,NA,"Antwerpen",NA,"hans.vanloy@provincieantwerpen.be",4.51971394258309,51.0649904107494
FALSE,FALSE,"Peulis, Mechelbaan (N15), doodlopend zijwegje, inrit huis nr 664, 3 m opw brugje+lozing","Waversebeek",NA,NA,"YES","I_2580_1","bij voorkeur tussen 20/07 - 01/09",NA,"VMM_Mtp","Lotisch",NA,"Antwerpen","Putte",2580,2,6702,NA,"Antwerpen",NA,"hans.vanloy@provincieantwerpen.be",4.59070551799696,51.0392320972805
FALSE,FALSE,"Muizen, Stwg Leuven-Mechelen, langs domein Planckendael, opw weg, to kapsalon ZEN","Barebeek",NA,NA,"YES","I_2812_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Antwerpen","Mechelen",2812,1,6560,NA,"VMM",NA,"d.slootmaekers@vmm.be",4.51763593707031,51.0040116038476
FALSE,FALSE,"Kampenhout, Beemdstr, dienstweg Aquafin, opw brug (FC), afw brug (BBI)","Weesbeek",NA,NA,"YES","I_1910_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Vlaams-Brabant","Kampenhout",1910,2,6559,NA,"Vlaams-Brabant",NA,"ingrid.beuls@vlaamsbrabant.be",4.56265414423437,50.9553951789748
FALSE,FALSE,"Haacht/Boortmeerbeek, Spoorwegstr, voor kilometerpaal 50 aan spoorweg, afw brug","Leibeek",NA,NA,"YES","I_3150_1",NA,NA,"VMM_Mtp","Lotisch",NA,"Vlaams-Brabant","Haacht",3150,2,6558,NA,"Vlaams-Brabant",NA,"ingrid.beuls@vlaamsbrabant.be",4.60300590426484,50.9702346239443
FALSE,FALSE,"Wespelaar, Wespelaarsestwg, afw weg","Leibeek",NA,NA,"YES","I_3150_2",NA,NA,"VMM_Mtp","Lotisch",NA,"Vlaams-Brabant","Haacht",3150,2,6558,NA,"Vlaams-Brabant",NA,"ingrid.beuls@vlaamsbrabant.be",4.6387550725396,50.9629214187867
FALSE,FALSE,"Wilsele-Putkapel, Weggevoerdenstr/Vuntlaan, afw brug (FC), 50 m opw brug (BBI)","Vunt",NA,NA,"YES","I_3012_3",NA,NA,"VMM_Mtp","Lotisch",NA,"Vlaams-Brabant","Leuven",3012,1,6603,NA,"VMM",NA,"d.slootmaekers@vmm.be",4.71478969582844,50.9246625025422
